x_relative,y_relative
0.000000,0.088865
0.001252,0.091006
0.002503,0.092077
0.003755,0.094218
0.005006,0.095289
0.006258,0.097430
0.007509,0.099572
0.008761,0.100642
0.010013,0.102784
0.011264,0.103854
0.012516,0.104925
0.013767,0.105996
0.015019,0.108137
0.016270,0.108137
0.017522,0.110278
0.018773,0.111349
0.020025,0.112420
0.021277,0.114561
0.022528,0.116702
0.023780,0.118844
0.025031,0.120985
0.026283,0.123126
0.027534,0.096360
0.028786,0.094218
0.030038,0.092077
0.031289,0.092077
0.032541,0.092077
0.033792,0.092077
0.035044,0.092077
0.036295,0.092077
0.037547,0.092077
0.038798,0.094218
0.040050,0.141328
0.041302,0.143469
0.042553,0.145610
0.043805,0.147752
0.045056,0.148822
0.046308,0.150964
0.047559,0.153105
0.048811,0.155246
0.050063,0.156317
0.051314,0.158458
0.052566,0.159529
0.053817,0.161670
0.055069,0.163812
0.056320,0.164882
0.057572,0.167024
0.058824,0.169165
0.060075,0.171306
0.061327,0.173448
0.062578,0.175589
0.063830,0.177730
0.065081,0.178801
0.066333,0.180942
0.067584,0.180942
0.068836,0.183084
0.070088,0.184154
0.071339,0.185225
0.072591,0.186296
0.073842,0.187366
0.075094,0.187366
0.076345,0.189507
0.077597,0.189507
0.078849,0.191649
0.080100,0.191649
0.081352,0.193790
0.082603,0.193790
0.083855,0.195931
0.085106,0.195931
0.086358,0.197002
0.087610,0.198073
0.088861,0.200214
0.090113,0.200214
0.091364,0.202355
0.092616,0.203426
0.093867,0.205567
0.095119,0.206638
0.096370,0.207709
0.097622,0.208779
0.098874,0.209850
0.100125,0.210921
0.101377,0.210921
0.102628,0.213062
0.103880,0.213062
0.105131,0.213062
0.106383,0.215203
0.107635,0.215203
0.108886,0.216274
0.110138,0.217345
0.111389,0.218415
0.112641,0.218415
0.113892,0.219486
0.115144,0.220557
0.116395,0.221627
0.117647,0.221627
0.118899,0.223769
0.120150,0.223769
0.121402,0.225910
0.122653,0.225910
0.123905,0.228051
0.125156,0.228051
0.126408,0.230193
0.127660,0.232334
0.128911,0.233405
0.130163,0.234475
0.131414,0.235546
0.132666,0.236617
0.133917,0.237687
0.135169,0.238758
0.136421,0.238758
0.137672,0.240899
0.138924,0.240899
0.140175,0.243041
0.141427,0.243041
0.142678,0.245182
0.143930,0.245182
0.145181,0.247323
0.146433,0.249465
0.147685,0.249465
0.148936,0.251606
0.150188,0.251606
0.151439,0.251606
0.152691,0.253747
0.153942,0.253747
0.155194,0.255889
0.156446,0.255889
0.157697,0.258030
0.158949,0.258030
0.160200,0.258030
0.161452,0.260171
0.162703,0.260171
0.163955,0.262313
0.165207,0.262313
0.166458,0.263383
0.167710,0.264454
0.168961,0.264454
0.170213,0.266595
0.171464,0.266595
0.172716,0.266595
0.173967,0.267666
0.175219,0.268737
0.176471,0.268737
0.177722,0.270878
0.178974,0.270878
0.180225,0.270878
0.181477,0.273019
0.182728,0.273019
0.183980,0.273019
0.185232,0.275161
0.186483,0.275161
0.187735,0.276231
0.188986,0.277302
0.190238,0.277302
0.191489,0.278373
0.192741,0.279443
0.193992,0.279443
0.195244,0.280514
0.196496,0.281585
0.197747,0.281585
0.198999,0.282655
0.200250,0.282655
0.201502,0.283726
0.202753,0.283726
0.204005,0.285867
0.205257,0.285867
0.206508,0.286938
0.207760,0.288009
0.209011,0.288009
0.210263,0.289079
0.211514,0.290150
0.212766,0.290150
0.214018,0.292291
0.215269,0.293362
0.216521,0.293362
0.217772,0.293362
0.219024,0.293362
0.220275,0.294433
0.221527,0.294433
0.222778,0.294433
0.224030,0.296574
0.225282,0.296574
0.226533,0.296574
0.227785,0.296574
0.229036,0.297645
0.230288,0.297645
0.231539,0.298715
0.232791,0.298715
0.234043,0.298715
0.235294,0.299786
0.236546,0.300857
0.237797,0.300857
0.239049,0.300857
0.240300,0.301927
0.241552,0.302998
0.242804,0.302998
0.244055,0.302998
0.245307,0.304069
0.246558,0.305139
0.247810,0.305139
0.249061,0.305139
0.250313,0.307281
0.251564,0.307281
0.252816,0.307281
0.254068,0.307281
0.255319,0.309422
0.256571,0.309422
0.257822,0.310493
0.259074,0.311563
0.260325,0.311563
0.261577,0.311563
0.262829,0.312634
0.264080,0.312634
0.265332,0.313704
0.266583,0.313704
0.267835,0.315846
0.269086,0.315846
0.270338,0.315846
0.271589,0.317987
0.272841,0.317987
0.274093,0.317987
0.275344,0.317987
0.276596,0.317987
0.277847,0.320128
0.279099,0.320128
0.280350,0.320128
0.281602,0.320128
0.282854,0.321199
0.284105,0.322270
0.285357,0.322270
0.286608,0.323340
0.287860,0.323340
0.289111,0.324411
0.290363,0.324411
0.291615,0.324411
0.292866,0.326552
0.294118,0.326552
0.295369,0.326552
0.296621,0.328694
0.297872,0.328694
0.299124,0.330835
0.300375,0.331906
0.301627,0.332976
0.302879,0.332976
0.304130,0.332976
0.305382,0.334047
0.306633,0.334047
0.307885,0.335118
0.309136,0.335118
0.310388,0.335118
0.311640,0.337259
0.312891,0.337259
0.314143,0.337259
0.315394,0.338330
0.316646,0.339400
0.317897,0.339400
0.319149,0.339400
0.320401,0.340471
0.321652,0.340471
0.322904,0.340471
0.324155,0.340471
0.325407,0.340471
0.326658,0.339400
0.327910,0.339400
0.329161,0.339400
0.330413,0.338330
0.331665,0.337259
0.332916,0.336188
0.334168,0.332976
0.335419,0.330835
0.336671,0.326552
0.337922,0.323340
0.339174,0.320128
0.340426,0.313704
0.341677,0.309422
0.342929,0.302998
0.344180,0.294861
0.345432,0.286724
0.346683,0.278587
0.347935,0.270450
0.349186,0.262313
0.350438,0.261242
0.351690,0.266595
0.352941,0.268737
0.354193,0.276231
0.355444,0.282655
0.356696,0.285867
0.357947,0.288009
0.359199,0.290150
0.360451,0.290150
0.361702,0.292291
0.362954,0.293362
0.364205,0.296574
0.365457,0.298715
0.366708,0.301927
0.367960,0.308351
0.369212,0.312634
0.370463,0.316916
0.371715,0.321199
0.372966,0.325482
0.374218,0.327623
0.375469,0.331906
0.376721,0.337259
0.377972,0.329764
0.379224,0.349036
0.380476,0.356531
0.381727,0.364026
0.382979,0.370450
0.384230,0.378301
0.385482,0.386153
0.386733,0.394004
0.387985,0.402213
0.389237,0.410421
0.390488,0.418630
0.391740,0.427195
0.392991,0.430407
0.394243,0.431478
0.395494,0.425054
0.396746,0.422912
0.397997,0.418630
0.399249,0.406852
0.400501,0.402570
0.401752,0.399358
0.403004,0.394004
0.404255,0.387045
0.405507,0.380086
0.406758,0.372234
0.408010,0.364383
0.409262,0.356531
0.410513,0.351178
0.411765,0.343683
0.413016,0.339400
0.414268,0.338330
0.415519,0.334047
0.416771,0.331906
0.418023,0.330835
0.419274,0.328694
0.420526,0.326552
0.421777,0.326552
0.423029,0.326552
0.424280,0.326552
0.425532,0.326552
0.426783,0.328694
0.428035,0.328694
0.429287,0.329764
0.430538,0.330835
0.431790,0.332976
0.433041,0.334047
