frequency (cm^-1),energy transmitted
900.000000,0.926391
899.269600,0.926840
898.539200,0.927289
897.808800,0.927289
897.078400,0.927289
896.348000,0.926391
895.617600,0.926391
894.887200,0.926391
894.156800,0.926391
893.426400,0.925494
892.696000,0.924596
891.965600,0.925494
891.235200,0.925494
890.504800,0.924297
889.774400,0.923100
889.044000,0.921903
888.313600,0.921903
887.583200,0.921903
886.852800,0.921903
886.122400,0.921903
885.392000,0.920706
884.661600,0.919509
883.931200,0.918312
883.200800,0.918312
882.469850,0.918312
881.739450,0.918312
881.009050,0.918312
880.278650,0.918312
879.548250,0.918312
878.817850,0.918312
878.087450,0.918312
877.357050,0.918312
876.626650,0.917415
875.896250,0.918312
875.165850,0.917415
874.435450,0.917415
873.705050,0.915619
872.974650,0.915619
872.244250,0.915619
871.513850,0.915619
870.783450,0.915619
870.053050,0.915619
869.322650,0.913824
868.592250,0.912029
867.861850,0.912029
867.131450,0.911131
866.401050,0.911131
865.670650,0.911131
864.940250,0.911131
864.209850,0.912029
863.479450,0.912029
862.749050,0.910682
862.018650,0.909336
861.288250,0.909336
860.557850,0.908438
859.827450,0.908438
859.097050,0.908438
858.366650,0.908438
857.636250,0.908139
856.905850,0.907840
856.175450,0.907540
855.445050,0.907540
854.714650,0.906643
853.984250,0.906643
853.253850,0.907540
852.523450,0.907540
851.793050,0.907540
851.062650,0.907540
850.332250,0.907540
849.601850,0.906643
848.871450,0.907540
848.140500,0.907540
847.410100,0.907540
846.679700,0.907540
845.949300,0.907540
845.218900,0.907540
844.488500,0.907540
843.758100,0.907540
843.027700,0.907540
842.297300,0.906194
841.566900,0.904847
840.836500,0.904847
840.106100,0.903950
839.375700,0.903950
838.645300,0.903950
837.914900,0.901257
837.184500,0.901257
836.454100,0.900359
835.723700,0.900359
834.993300,0.900359
834.262900,0.900359
833.532500,0.904847
832.802100,0.904847
832.071700,0.905745
831.341300,0.906643
830.610900,0.906643
829.880500,0.906643
829.150100,0.908887
828.419700,0.911131
827.689300,0.911131
826.958900,0.912029
826.228500,0.912029
825.498100,0.912029
824.767700,0.915619
824.037300,0.915619
823.306900,0.914722
822.576500,0.915619
821.846100,0.915619
821.115700,0.915619
820.385300,0.916966
819.654900,0.918312
818.924500,0.918312
818.194100,0.917415
817.463700,0.917415
816.733300,0.918312
816.002900,0.918312
815.272500,0.918911
814.542100,0.919509
813.811150,0.920108
813.080750,0.920108
812.350350,0.919210
811.619950,0.919210
810.889550,0.918312
810.159150,0.918312
809.428750,0.918312
808.698350,0.918312
807.967950,0.918312
807.237550,0.917415
806.507150,0.918312
805.776750,0.918312
805.046350,0.918312
804.315950,0.917864
803.585550,0.917415
802.855150,0.917415
802.124750,0.916517
801.394350,0.916517
800.663950,0.916517
799.933550,0.916517
799.203150,0.916517
798.472750,0.916068
797.742350,0.915619
797.011950,0.915619
796.281550,0.914722
795.551150,0.914722
794.820750,0.914722
794.090350,0.915619
793.359950,0.916517
792.629550,0.916517
791.899150,0.916517
791.168750,0.916517
790.438350,0.916517
789.707950,0.916816
788.977550,0.917115
788.247150,0.917415
787.516750,0.917415
786.786350,0.916517
786.055950,0.916517
785.325550,0.916517
784.595150,0.916517
783.864750,0.916068
783.134350,0.915619
782.403950,0.915619
781.673550,0.914722
780.943150,0.914722
780.212750,0.914722
779.481800,0.914722
778.751400,0.915171
778.021000,0.915619
777.290600,0.915619
776.560200,0.914722
775.829800,0.914722
775.099400,0.914722
774.369000,0.914722
773.638600,0.915619
772.908200,0.916517
772.177800,0.916517
771.447400,0.916517
770.717000,0.916517
769.986600,0.916517
769.256200,0.917415
768.525800,0.918312
767.795400,0.918312
767.065000,0.918312
766.334600,0.918312
765.604200,0.918312
764.873800,0.923698
764.143400,0.923698
763.413000,0.924596
762.682600,0.924596
761.952200,0.930880
761.221800,0.930880
760.491400,0.931777
759.761000,0.932675
759.030600,0.932675
758.300200,0.936266
757.569800,0.936266
756.839400,0.935368
756.109000,0.936266
755.378600,0.936266
754.648200,0.938061
753.917800,0.939856
753.187400,0.939856
752.457000,0.939856
751.726600,0.939856
750.996200,0.939856
750.265800,0.940754
749.535400,0.941652
748.805000,0.941652
748.074600,0.940754
747.344200,0.940754
746.613800,0.940754
745.883400,0.940754
745.152450,0.942549
744.422050,0.942549
743.691650,0.941652
742.961250,0.941652
742.230850,0.941652
741.500450,0.941652
740.770050,0.945242
740.039650,0.945242
739.309250,0.945242
738.578850,0.945242
737.848450,0.945242
737.118050,0.947935
736.387650,0.947935
735.657250,0.948833
734.926850,0.948833
734.196450,0.948833
733.466050,0.948833
732.735650,0.949132
732.005250,0.949431
731.274850,0.949731
730.544450,0.949731
729.814050,0.949731
729.083650,0.949731
728.353250,0.949731
727.622850,0.949731
726.892450,0.949731
726.162050,0.949731
725.431650,0.948833
724.701250,0.948833
723.970850,0.948833
723.240450,0.948833
722.510050,0.949282
721.779650,0.949731
721.049250,0.949731
720.318850,0.948833
719.588450,0.948833
718.858050,0.948833
718.127650,0.948833
717.397250,0.948833
716.666850,0.948833
715.936450,0.948833
715.206050,0.947935
714.475650,0.947935
713.745250,0.947935
713.014850,0.948384
712.284450,0.948833
711.554050,0.948833
710.823100,0.947935
710.092700,0.948833
709.362300,0.948833
708.631900,0.952424
707.901500,0.952424
707.171100,0.952424
706.440700,0.952424
705.710300,0.952424
704.979900,0.952424
704.249500,0.959605
703.519100,0.959605
702.788700,0.959605
702.058300,0.961400
701.327900,0.963196
700.597500,0.964093
699.867100,0.964991
699.136700,0.964991
698.406300,0.964991
697.675900,0.966786
696.945500,0.968582
696.215100,0.968582
695.484700,0.969479
694.754300,0.966068
694.023900,0.962657
693.293500,0.959246
692.563100,0.955835
691.832700,0.952424
691.102300,0.949013
690.371900,0.945601
689.641500,0.942190
688.911100,0.938779
688.180700,0.935368
687.450300,0.931957
686.719900,0.928546
685.989500,0.925135
685.259100,0.921724
684.528700,0.918312
683.798300,0.917834
683.067900,0.917355
682.337500,0.916876
681.607100,0.916397
680.876700,0.915919
680.146300,0.915440
679.415900,0.914961
678.685500,0.914482
677.955100,0.914004
677.224700,0.913525
676.493750,0.913046
675.763350,0.912567
675.032950,0.912089
674.302550,0.911610
673.572150,0.911131
672.841750,0.909934
672.111350,0.908737
671.380950,0.907540
670.650550,0.906344
669.920150,0.905147
669.189750,0.903950
668.459350,0.902154
667.728950,0.901257
666.998550,0.898564
666.268150,0.895871
665.537750,0.894075
664.807350,0.890485
664.076950,0.887792
663.346550,0.883303
662.616150,0.879713
661.885750,0.876122
661.155350,0.871634
660.424950,0.868941
659.694550,0.865350
658.964150,0.860862
658.233750,0.856373
657.503350,0.853680
656.772950,0.848294
656.042550,0.841113
655.312150,0.833932
654.581750,0.828546
653.851350,0.810487
653.120950,0.792428
652.390550,0.779174
651.660150,0.771993
650.929750,0.738251
650.199350,0.720192
649.468950,0.702133
648.738550,0.684074
648.008150,0.666015
647.277750,0.647956
646.547350,0.629898
645.816950,0.611839
645.086550,0.593780
644.356150,0.575721
643.625750,0.557662
642.895350,0.539603
642.164400,0.521544
641.434000,0.540395
640.703600,0.542190
639.973200,0.540395
639.242800,0.522442
638.512400,0.521544
637.782000,0.520646
637.051600,0.518851
636.321200,0.517953
635.590800,0.517953
634.860400,0.521544
634.130000,0.525135
633.399600,0.555835
632.669200,0.586535
631.938800,0.617235
631.208400,0.647935
630.478000,0.678636
629.747600,0.678636
629.017200,0.672352
628.286800,0.688561
627.556400,0.704770
626.826000,0.720980
626.095600,0.737189
625.365200,0.753398
624.634800,0.769608
623.904400,0.785817
623.174000,0.802026
622.443600,0.818671
621.713200,0.834445
620.982800,0.850654
620.252400,0.866863
619.522000,0.883073
618.791600,0.899282
618.061200,0.892280
617.330800,0.911031
616.600400,0.913311
615.870000,0.921005
615.139600,0.926391
614.409200,0.926391
613.678800,0.928187
612.948400,0.931777
612.218000,0.933573
611.487600,0.934470
610.757200,0.936266
610.026800,0.936266
609.296400,0.941652
608.566000,0.941652
607.835600,0.941652
607.104650,0.941652
606.374250,0.941652
605.643850,0.916517
604.913450,0.920108
604.183050,0.923698
603.452650,0.927289
602.722250,0.930880
601.991850,0.934470
601.261450,0.936266
600.531050,0.938061
599.800650,0.940754
599.070250,0.943447
598.339850,0.944345
597.609450,0.946140
596.879050,0.947038
596.148650,0.948721
595.418250,0.950404
594.687850,0.952087
593.957450,0.953770
593.227050,0.955453
592.496650,0.957136
591.766250,0.958820
591.035850,0.960503
590.305450,0.960443
589.575050,0.960383
588.844650,0.960323
588.114250,0.960263
587.383850,0.960203
586.653450,0.960144
585.923050,0.960084
585.192650,0.960024
584.462250,0.959964
583.731850,0.959904
583.001450,0.959844
582.271050,0.959785
581.540650,0.959725
580.810250,0.959665
580.079850,0.959605
579.349450,0.959605
578.619050,0.959605
577.888650,0.959605
577.158250,0.959605
576.427850,0.959605
575.697450,0.959605
574.967050,0.959605
574.236650,0.959605
573.506250,0.959605
572.775300,0.959605
572.044900,0.959605
571.314500,0.959605
570.584100,0.959605
569.853700,0.959605
569.123300,0.959605
568.392900,0.959545
567.662500,0.959485
566.932100,0.959425
566.201700,0.959366
565.471300,0.959306
564.740900,0.959246
564.010500,0.959186
563.280100,0.959126
562.549700,0.959066
