x,y
62.40,100.00
62.40,100.00
62.40,100.00
62.40,100.00
62.40,100.00
62.81,100.00
62.81,100.00
62.81,100.00
63.22,100.00
63.22,100.00
63.22,100.00
64.05,100.00
64.05,100.00
64.46,100.00
64.88,100.00
65.29,100.00
65.70,100.00
66.12,100.00
66.53,100.00
66.94,100.00
67.36,100.00
67.77,100.00
68.18,100.00
68.60,100.00
69.01,100.00
69.42,100.00
69.42,100.00
69.42,100.00
69.83,100.00
69.83,100.00
69.83,100.00
69.83,100.00
69.83,100.00
70.25,100.00
70.25,100.00
70.25,100.00
70.25,100.00
70.25,100.00
70.25,100.00
70.66,100.00
70.66,100.00
70.66,100.00
70.66,100.00
70.66,100.00
70.66,100.00
71.07,100.00
71.07,100.00
71.07,100.00
71.07,100.00
71.07,100.00
71.07,100.00
71.49,100.00
71.49,100.00
71.49,100.00
71.90,100.00
71.90,100.00
71.90,100.00
71.90,100.00
71.90,100.00
71.90,100.00
71.90,100.00
72.31,100.00
72.31,100.00
72.31,100.00
72.73,100.00
72.73,100.00
72.73,100.00
72.73,100.00
72.73,100.00
73.14,100.00
73.14,100.00
73.14,100.00
73.14,100.00
73.14,100.00
73.55,100.00
73.55,100.00
73.55,100.00
73.55,100.00
73.55,100.00
73.55,100.00
73.97,100.00
73.97,100.00
73.97,100.00
73.97,100.00
74.38,100.00
74.38,100.00
74.79,100.00
75.21,100.00
75.21,100.00
75.62,100.00
76.03,100.00
76.03,100.00
76.45,100.00
76.86,100.00
76.86,100.00
77.27,100.00
77.69,100.00
77.69,100.00
77.69,100.00
78.10,100.00
78.10,100.00
78.51,100.00
78.51,100.00
78.51,100.00
78.93,100.00
78.93,100.00
79.34,100.00
79.34,100.00
79.75,100.00
79.75,100.00
79.75,100.00
80.17,100.00
80.17,100.00
80.58,100.00
80.99,100.00
80.99,100.00
80.99,100.00
80.99,100.00
81.40,100.00
81.40,100.00
81.82,100.00
81.82,100.00
82.23,100.00
82.23,100.00
82.23,100.00
82.64,100.00
82.64,100.00
83.06,100.00
83.06,100.00
83.47,100.00
83.47,100.00
83.47,100.00
83.88,100.00
83.88,100.00
83.88,100.00
84.30,100.00
84.30,100.00
84.71,100.00
84.71,100.00
84.71,100.00
84.71,100.00
85.12,100.00
85.12,100.00
85.54,100.00
85.95,100.00
85.95,100.00
85.95,100.00
85.95,100.00
85.95,100.00
85.95,100.00
85.95,100.00
85.95,100.00
85.95,100.00
86.36,100.00
86.36,100.00
86.36,100.00
86.36,100.00
86.78,100.00
86.78,100.00
86.78,100.00
86.78,100.00
86.78,100.00
87.19,100.00
87.19,100.00
87.19,100.00
87.19,100.00
87.60,100.00
87.60,100.00
87.60,100.00
88.02,100.00
88.02,100.00
88.02,100.00
88.43,100.00
88.43,100.00
88.43,100.00
88.43,100.00
88.43,100.00
88.43,100.00
88.43,100.00
88.43,100.00
88.84,100.00
88.84,100.00
88.84,100.00
88.84,100.00
88.84,100.00
88.84,100.00
88.84,100.00
89.26,100.00
89.26,100.00
89.26,100.00
89.67,100.00
89.67,100.00
89.67,100.00
89.67,100.00
90.08,100.00
90.08,100.00
90.08,100.00
90.50,100.00
90.50,100.00
90.91,100.00
90.91,100.00
90.91,100.00
91.32,100.00
91.32,100.00
91.74,100.00
92.15,100.00
92.56,100.00
92.98,100.00
93.39,100.00
93.80,100.00
94.21,100.00
94.63,100.00
95.04,100.00
95.45,100.00
95.87,100.00
96.28,100.00
96.69,100.00
96.69,100.00
97.11,100.00
97.11,100.00
97.52,100.00
97.52,100.00
97.52,100.00
97.52,100.00
97.93,100.00
98.35,100.00
98.35,100.00
98.35,100.00
98.35,100.00
98.35,100.00
98.76,100.00
98.76,100.00
99.17,100.00
99.17,100.00
99.17,100.00
99.17,100.00
99.17,100.00
99.17,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
100.00,100.00
