x_relative,y_relative
0.000000,0.775194
0.001245,0.775194
0.002491,0.775194
0.003736,0.775194
0.004981,0.775194
0.006227,0.775194
0.007472,0.775194
0.008717,0.775194
0.009963,0.775194
0.011208,0.775194
0.012453,0.782946
0.013699,0.786822
0.014944,0.794574
0.016189,0.802326
0.017435,0.810078
0.018680,0.817829
0.019925,0.825581
0.021171,0.833333
0.022416,0.841085
0.023661,0.848837
0.024907,0.856589
0.026152,0.864341
0.027397,0.872093
0.028643,0.879845
0.029888,0.887597
0.031133,0.895349
0.032379,0.903101
0.033624,0.910853
0.034869,0.918605
0.036115,0.926357
0.037360,0.934109
0.038605,0.941860
0.039851,0.945736
0.041096,0.945736
0.042341,0.945736
0.043587,0.945736
0.044832,0.945736
0.046077,0.945736
0.047323,0.945736
0.048568,0.945736
0.049813,0.945736
0.051059,0.945736
0.052304,0.945736
0.053549,0.945736
0.054795,0.825581
0.056040,0.825581
0.057285,0.825581
0.058531,0.825581
0.059776,0.945736
0.061021,0.945736
0.062267,0.945736
0.063512,0.945736
0.064757,0.945736
0.066002,0.945736
0.067248,0.885659
0.068493,0.825581
0.069738,0.864341
0.070984,0.903101
0.072229,0.941860
0.073474,0.941860
0.074720,0.941860
0.075965,0.941860
0.077210,0.941860
0.078456,0.941860
0.079701,0.941860
0.080946,0.829457
0.082192,0.829457
0.083437,0.829457
0.084682,0.858527
0.085928,0.887597
0.087173,0.868217
0.088418,0.848837
0.089664,0.829457
0.090909,0.945736
0.092154,0.945736
0.093400,0.945736
0.094645,0.945736
0.095890,0.945736
0.097136,0.945736
0.098381,0.945736
0.099626,0.944961
0.100872,0.944186
0.102117,0.943411
0.103362,0.942636
0.104608,0.941860
0.105853,0.941860
0.107098,0.941860
0.108344,0.941860
0.109589,0.941860
0.110834,0.941860
0.112080,0.941860
0.113325,0.941860
0.114570,0.941860
0.115816,0.941860
0.117061,0.941860
0.118306,0.941860
0.119552,0.941860
0.120797,0.941860
0.122042,0.941860
0.123288,0.941860
0.124533,0.941860
0.125778,0.941860
0.127024,0.941860
0.128269,0.941860
0.129514,0.941860
0.130760,0.941860
0.132005,0.941085
0.133250,0.940310
0.134496,0.939535
0.135741,0.938760
0.136986,0.937984
0.138232,0.941860
0.139477,0.940891
0.140722,0.939922
0.141968,0.938953
0.143213,0.937984
0.144458,0.939922
0.145704,0.941860
0.146949,0.940891
0.148194,0.939922
0.149440,0.938953
0.150685,0.937984
0.151930,0.937984
0.153176,0.937984
0.154421,0.937984
0.155666,0.937984
0.156912,0.941860
0.158157,0.940891
0.159402,0.939922
0.160648,0.938953
0.161893,0.937984
0.163138,0.941860
0.164384,0.940891
0.165629,0.939922
0.166874,0.938953
0.168120,0.937984
0.169365,0.941860
0.170610,0.941085
0.171856,0.940310
0.173101,0.939535
0.174346,0.938760
0.175592,0.937984
0.176837,0.936693
0.178082,0.935401
0.179328,0.934109
0.180573,0.932817
0.181818,0.931525
0.183064,0.930233
0.184309,0.885013
0.185554,0.839793
0.186800,0.794574
0.188045,0.860465
0.189290,0.926357
0.190535,0.883721
0.191781,0.841085
0.193026,0.798450
0.194271,0.862403
0.195517,0.926357
0.196762,0.923773
0.198007,0.921189
0.199253,0.918605
0.200498,0.916021
0.201743,0.913437
0.202989,0.910853
0.204234,0.908527
0.205479,0.906202
0.206725,0.903876
0.207970,0.901550
0.209215,0.899225
0.210461,0.899225
0.211706,0.899225
0.212951,0.899225
0.214197,0.899225
0.215442,0.903101
0.216687,0.906977
0.217933,0.904762
0.219178,0.902547
0.220423,0.900332
0.221669,0.898117
0.222914,0.895903
0.224159,0.893688
0.225405,0.891473
0.226650,0.895349
0.227895,0.892442
0.229141,0.889535
0.230386,0.886628
0.231631,0.883721
0.232877,0.880739
0.234122,0.877758
0.235367,0.874776
0.236613,0.871795
0.237858,0.868813
0.239103,0.865832
0.240349,0.862850
0.241594,0.859869
0.242839,0.856887
0.244085,0.853906
0.245330,0.850924
0.246575,0.847943
0.247821,0.844961
0.249066,0.839147
0.250311,0.833333
0.251557,0.827519
0.252802,0.821705
0.254047,0.825581
0.255293,0.817829
0.256538,0.810078
0.257783,0.802326
0.259029,0.795866
0.260274,0.789406
0.261519,0.782946
0.262765,0.777778
0.264010,0.772610
0.265255,0.767442
0.266501,0.762597
0.267746,0.757752
0.268991,0.752907
0.270237,0.748062
0.271482,0.736434
0.272727,0.724806
0.273973,0.709302
0.275218,0.701550
0.276463,0.693798
0.277709,0.686047
0.278954,0.676357
0.280199,0.666667
0.281445,0.613372
0.282690,0.560078
0.283935,0.637597
0.285181,0.585271
0.286426,0.534884
0.287671,0.569767
0.288917,0.600775
0.290162,0.550388
0.291407,0.579457
0.292653,0.531008
0.293898,0.521318
0.295143,0.550388
0.296389,0.465116
0.297634,0.527132
0.298879,0.513566
0.300125,0.503876
0.301370,0.428295
0.302615,0.490310
0.303861,0.465116
0.305106,0.405039
0.306351,0.445736
0.307597,0.389535
0.308842,0.416667
0.310087,0.406008
0.311333,0.395349
0.312578,0.356589
0.313823,0.348837
0.315068,0.368217
0.316314,0.327519
0.317559,0.317829
0.318804,0.348837
0.320050,0.302326
0.321295,0.333333
0.322540,0.306202
0.323786,0.279070
0.325031,0.308140
0.326276,0.261628
0.327522,0.267442
0.328767,0.236434
0.330012,0.228682
0.331258,0.244186
0.332503,0.213178
0.333748,0.205426
0.334994,0.193798
0.336239,0.182171
0.337484,0.172481
0.338730,0.166667
0.339975,0.160853
0.341220,0.155039
0.342466,0.207364
0.343711,0.259690
0.344956,0.139535
0.346202,0.179587
0.347447,0.219638
0.348692,0.259690
0.349938,0.263566
0.351183,0.267442
0.352428,0.271318
0.353674,0.275194
0.354919,0.277132
0.356164,0.279070
0.357410,0.279716
0.358655,0.280362
0.359900,0.281008
0.361146,0.281654
0.362391,0.282300
0.363636,0.282946
0.364882,0.288760
0.366127,0.294574
0.367372,0.300388
0.368618,0.308140
0.369863,0.312016
0.371108,0.315891
0.372354,0.319767
0.373599,0.323643
0.374844,0.323256
0.376090,0.322868
0.377335,0.322481
0.378580,0.322093
0.379826,0.321705
0.381071,0.281008
0.382316,0.240310
0.383562,0.199612
0.384807,0.162791
0.386052,0.125969
0.387298,0.089147
0.388543,0.193798
0.389788,0.298450
0.391034,0.197674
0.392279,0.096899
0.393524,0.189922
0.394770,0.282946
0.396015,0.191860
0.397260,0.100775
0.398506,0.263566
0.399751,0.256460
0.400996,0.249354
0.402242,0.242248
0.403487,0.228682
0.404732,0.218992
0.405978,0.207364
0.407223,0.198643
0.408468,0.189922
0.409714,0.185401
0.410959,0.180879
0.412204,0.176357
0.413450,0.182171
0.414695,0.058140
0.415940,0.096253
0.417186,0.134367
0.418431,0.172481
0.419676,0.038760
0.420922,0.034884
0.422167,0.031008
0.423412,0.101744
0.424658,0.172481
0.425903,0.170543
0.427148,0.168605
0.428394,0.166667
0.429639,0.164729
0.430884,0.162791
0.432130,0.160368
0.433375,0.157946
0.434620,0.155523
0.435866,0.153101
0.437111,0.147287
0.438356,0.143411
0.439601,0.143411
0.440847,0.143411
0.442092,0.139535
0.443337,0.139535
0.444583,0.139535
0.445828,0.139535
0.447073,0.139535
0.448319,0.141473
0.449564,0.143411
0.450809,0.145349
0.452055,0.147287
0.453300,0.149225
0.454545,0.116279
0.455791,0.083333
0.457036,0.160853
0.458281,0.170543
0.459527,0.162791
0.460772,0.182171
0.462017,0.174419
0.463263,0.023256
0.464508,0.195736
0.465753,0.194767
0.466999,0.193798
0.468244,0.217054
0.469489,0.217054
0.470735,0.038760
