FREQUENCY (cm^-1),ENERGY TRANSMITTED
3734.610900,91.956500
3733.772300,92.065200
3732.934400,92.329200
3732.095800,92.593200
3731.257200,92.857100
3730.419300,93.121100
3729.580700,93.385100
3728.742800,93.649100
3727.904200,93.913000
3727.065600,93.913000
3726.227700,93.913000
3725.389100,93.913000
3724.551200,93.913000
3723.712600,93.913000
3722.874000,93.695700
3722.036100,93.824700
3721.197500,93.953800
3720.359600,94.082900
3719.521000,94.212000
3718.682400,94.341000
3717.844500,94.470100
3717.005900,94.599200
3716.168000,94.728300
3715.329400,94.857300
3714.490800,94.986400
3713.652900,95.115500
3712.814300,95.244600
3711.975700,95.373600
3711.137800,95.502700
3710.299200,95.631800
3709.461300,95.760900
3708.622700,95.818400
3707.784100,95.876000
3706.946200,95.933500
3706.107600,95.991000
3705.269700,96.048600
3704.431100,96.106100
3703.592500,96.163700
3702.754600,96.221200
3701.916000,96.278800
3701.078100,96.336300
3700.239500,96.393900
3699.400900,96.451400
3698.563000,96.509000
3697.724400,96.566500
3696.886500,96.624000
3696.047900,96.681600
3695.209300,96.739100
3694.371400,96.739100
3693.532800,96.630400
3692.694900,96.630400
3691.856300,96.739100
3691.017700,96.739100
3690.179800,96.304300
3689.341200,96.195700
3688.503300,96.087000
3687.664700,95.978300
3686.826100,95.978300
3685.988200,95.706500
3685.149600,95.434800
3684.311700,95.434800
3683.473100,95.326100
3682.634500,95.434800
3681.796600,95.434800
3680.958000,95.000000
3680.120100,95.000000
3679.281500,94.891300
3678.442900,95.000000
3677.605000,95.000000
3676.766400,94.891300
3675.927800,94.891300
3675.089900,94.891300
3674.251300,95.000000
3673.413400,95.000000
3672.574800,95.000000
3671.736200,95.000000
3670.898300,94.891300
3670.059700,94.891300
3669.221800,94.891300
3668.383200,94.782600
3667.544600,94.565200
3666.706700,94.456500
3665.868100,94.239100
3665.030200,94.239100
3664.191600,93.804300
3663.353000,93.804300
3662.515100,93.804300
3661.676500,93.695700
3660.838600,93.695700
3660.000000,93.695700
3659.161400,93.695700
3658.323500,93.695700
3657.484900,93.587000
3656.647000,93.587000
3655.808400,93.587000
3654.969800,93.587000
3654.131900,93.695700
3653.293300,93.587000
3652.455400,93.695700
3651.616800,93.695700
3650.778200,93.804300
3649.940300,93.804300
3649.101700,93.804300
3648.263800,93.804300
3647.425200,93.695700
3646.586600,93.478300
3645.748700,93.260900
3644.910100,93.152200
3644.072200,93.152200
3643.233600,93.152200
3642.395000,93.152200
3641.557100,92.717400
3640.718500,92.717400
3639.879900,92.717400
3639.042000,92.717400
3638.203400,92.717400
3637.365500,91.847800
3636.526900,91.847800
3635.688300,91.847800
3634.850400,91.739100
3634.011800,91.739100
3633.173900,91.087000
3632.335300,91.087000
3631.496700,90.978300
3630.658800,90.978300
3629.820200,90.978300
3628.982300,90.978300
3628.143700,90.543500
3627.305100,90.543500
3626.467200,90.434800
3625.628600,90.434800
3624.790700,89.782600
3623.952100,85.760900
3623.113500,85.434800
3622.275600,85.326100
3621.437000,85.217400
3620.599100,85.108700
3619.760500,84.891300
3618.921900,84.891300
3618.084000,84.673900
3617.245400,84.456500
3616.407500,84.456500
3615.568900,84.239100
3614.730300,84.239100
3613.892400,84.021700
3613.053800,83.804300
3612.215900,83.478300
3611.377300,83.152200
3610.538700,82.934800
3609.700800,82.826100
3608.862200,82.608700
3608.024300,82.391300
3607.185700,82.065200
3606.347100,81.956500
3605.509200,81.739100
3604.670600,81.521700
