FREQUENCY (cm⁻¹),ENERGY TRANSMITTED
3800.000000,57.451000
3799.135500,22.549000
3798.271700,96.176500
3797.407200,96.078400
3796.543400,95.980400
3795.678900,95.784300
3794.815100,95.686300
3793.950600,95.588200
3793.086100,95.588200
3792.222300,95.490200
3791.357800,95.490200
3790.494000,95.392200
3789.629500,95.392200
3788.765700,95.294100
3787.901200,95.294100
3787.036700,95.196100
3786.172900,95.098000
3785.308400,95.098000
3784.444600,95.098000
3783.580100,95.098000
3782.716300,89.215700
3781.851800,89.215700
3780.988000,89.215700
3780.123500,89.215700
3779.259000,89.411800
3778.395200,94.902000
3777.530700,94.902000
3776.666900,94.902000
3775.802400,94.902000
3774.938600,94.902000
3774.074100,94.902000
3773.209600,94.803900
3772.345800,94.803900
3771.481300,94.705900
3770.617500,94.705900
3769.753000,94.705900
3768.889200,94.607800
3768.024700,94.509800
3767.160200,94.509800
3766.296400,94.411800
3765.431900,94.411800
3764.568100,94.313700
3763.703600,94.215700
3762.839800,94.215700
3761.975300,94.117600
3761.110800,94.019600
3760.247000,93.921600
3759.382500,93.921600
3758.518700,93.823500
3757.654200,93.725500
3756.790400,93.725500
3755.925900,93.627500
3755.061400,93.529400
3754.197600,93.529400
3753.333100,93.529400
3752.469300,93.431400
3751.604800,93.333300
3750.741000,93.333300
3749.876500,93.235300
3749.012000,93.235300
3748.148200,93.137300
3747.283700,93.039200
3746.419900,93.039200
3745.555400,92.941200
3744.691600,92.843100
3743.827100,92.647100
3742.963300,92.549000
3742.098800,92.549000
3741.234300,92.451000
3740.370500,92.352900
3739.506000,92.254900
3738.642200,92.058800
3737.777700,92.058800
3736.913900,91.960800
3736.049400,91.862700
3735.184900,91.764700
3734.321100,91.764700
3733.456600,91.666700
3732.592800,91.568600
3731.728300,91.470600
3730.864500,91.470600
3730.000000,91.372500
3729.135500,91.274500
3728.271700,91.176500
3727.407200,91.176500
3726.543400,91.078400
3725.678900,90.980400
3724.815100,90.980400
3723.950600,90.882400
3723.086100,90.882400
3722.222300,90.686300
3721.357800,90.686300
3720.494000,90.490200
3719.629500,90.490200
3718.765700,90.294100
3717.901200,90.294100
3717.036700,90.098000
3716.172900,89.902000
3715.308400,89.902000
3714.444600,89.803900
3713.580100,89.705900
3712.716300,89.607800
3711.851800,89.509800
3710.988000,89.411800
3710.123500,89.313700
3709.259000,89.313700
3708.395200,89.215700
3707.530700,89.117600
3706.666900,89.117600
3705.802400,89.019600
3704.938600,89.019600
3704.074100,88.921600
3703.209600,88.823500
3702.345800,88.823500
3701.481300,88.823500
3700.617500,88.823500
3699.753000,88.725500
3698.889200,88.725500
3698.024700,88.627500
3697.160200,88.529400
3696.296400,88.529400
3695.431900,88.431400
3694.568100,88.431400
3693.703600,88.333300
3692.839800,88.137300
3691.975300,87.941200
3691.110800,87.843100
3690.247000,87.745100
3689.382500,87.549000
3688.518700,87.451000
3687.654200,87.352900
3686.790400,87.254900
3685.925900,87.156900
3685.061400,86.960800
3684.197600,86.862700
3683.333100,86.764700
3682.469300,86.568600
3681.604800,86.470600
3680.741000,86.274500
3679.876500,85.980400
3679.012000,85.784300
3678.148200,85.588200
3677.283700,85.392200
3676.419900,85.098000
3675.555400,85.000000
3674.691600,84.902000
3673.827100,84.803900
3672.963300,84.607800
3672.098800,84.607800
3671.234300,84.411800
3670.370500,84.215700
3669.506000,84.215700
3668.642200,84.019600
3667.777700,84.019600
3666.913900,83.823500
3666.049400,83.627500
3665.184900,83.333300
3664.321100,83.039200
3663.456600,82.843100
3662.592800,82.745100
3661.728300,82.549000
3660.864500,82.352900
3660.000000,82.058800
3659.135500,81.960800
3658.271700,81.764700
3657.407200,81.568600
3656.543400,81.372500
3655.678900,81.176500
3654.815100,80.980400
3653.950600,80.882400
3653.086100,80.784300
3652.222300,80.686300
3651.357800,80.490200
3650.494000,80.196100
3649.629500,80.000000
3648.765700,79.803900
3647.901200,79.607800
3647.036700,79.411800
3646.172900,79.215700
3645.308400,79.019600
3644.444600,79.019600
3643.580100,78.823500
3642.716300,78.627500
3641.851800,78.431400
3640.988000,78.235300
3640.123500,78.039200
3639.259000,77.843100
3638.395200,77.647100
3637.530700,77.352900
3636.666900,77.156900
3635.802400,76.960800
3634.938600,76.764700
3634.074100,76.470600
3633.209600,76.274500
3632.345800,76.078400
3631.481300,76.078400
3630.617500,75.882400
3629.753000,75.686300
3628.889200,75.490200
3628.024700,75.294100
3627.160200,75.000000
3626.296400,74.607800
3625.431900,74.411800
3624.568100,74.215700
3623.703600,73.921600
3622.839800,73.529400
3621.975300,73.333300
3621.110800,73.137300
3620.247000,72.745100
3619.382500,72.352900
3618.518700,72.058800
3617.654200,71.666700
3616.790400,71.470600
3615.925900,71.078400
3615.061400,70.588200
3614.197600,70.294100
3613.333100,70.000000
3612.469300,69.705900
3611.604800,69.215700
3610.741000,68.823500
3609.876500,68.529400
3609.012000,68.333300
3608.148200,68.039200
3607.283700,67.745100
3606.419900,67.451000
3605.555400,67.156900
3604.691600,66.960800
3603.827100,66.568600
3602.963300,66.372500
3602.098800,66.078400
3601.234300,65.686300
3600.370500,65.098000
3599.506000,64.705900
3598.642200,64.215700
3597.777700,63.627500
3596.913900,63.137300
3596.049400,62.549000
3595.184900,62.156900
3594.321100,61.666700
3593.456600,61.176500
3592.592800,60.980400
3591.728300,60.588200
3590.864500,60.294100
3590.000000,60.000000
3589.135500,59.902000
3588.271700,59.705900
3587.407200,59.509800
3586.543400,59.313700
3585.678900,59.313700
3584.815100,59.117600
3583.950600,59.117600
3583.086100,59.019600
3582.222300,58.921600
3581.357800,58.921600
3580.494000,58.725500
3579.629500,58.529400
3578.765700,58.333300
3577.901200,58.235300
3577.036700,58.235300
3576.172900,58.235300
3575.308400,58.235300
3574.444600,58.235300
3573.580100,58.235300
3572.716300,58.333300
3571.851800,58.333300
3570.988000,58.529400
3570.123500,58.529400
3569.259000,58.627500
3568.395200,58.725500
3567.530700,58.725500
3566.666900,58.725500
3565.802400,58.725500
3564.938600,58.823500
3564.074100,58.921600
3563.209600,59.019600
3562.345800,59.313700
3561.481300,59.607800
3560.617500,59.803900
3559.753000,60.000000
3558.889200,60.098000
3558.024700,60.196100
3557.160200,60.294100
3556.296400,60.294100
3555.431900,60.294100
3554.568100,60.294100
3553.703600,60.392200
3552.839800,60.392200
3551.975300,60.392200
3551.110800,60.294100
3550.247000,60.000000
3549.382500,59.902000
3548.518700,59.705900
3547.654200,59.509800
3546.790400,59.117600
3545.925900,58.921600
3545.061400,58.725500
