FREQUENCY (cm^-1),ENERGY TRANSMITTED
3734.610900,96.956500
3733.772300,96.847800
3732.934400,96.847800
3732.095800,96.739100
3731.257200,96.739100
3730.419300,96.630400
3729.580700,96.521700
3728.742800,96.521700
3727.904200,96.521700
3727.065600,96.521700
3726.227700,96.304300
3725.389100,96.304300
3724.551200,96.304300
3723.712600,96.304300
3722.874000,96.304300
3722.036100,96.304300
3721.197500,96.304300
3720.359600,96.304300
3719.521000,96.304300
3718.682400,96.304300
3717.844500,96.304300
3717.005900,96.195700
3716.168000,96.195700
3715.329400,96.087000
3714.490800,96.087000
3713.652900,96.087000
3712.814300,95.978300
3711.975700,95.869600
3711.137800,95.869600
3710.299200,95.760900
3709.461300,95.760900
3708.622700,95.652200
3707.784100,95.543500
3706.946200,95.543500
3706.107600,95.434800
3705.269700,95.326100
3704.431100,95.217400
3703.592500,95.217400
3702.754600,95.108700
3701.916000,95.000000
3701.078100,95.000000
3700.239500,94.891300
3699.400900,94.782600
3698.563000,94.782600
3697.724400,94.782600
3696.886500,94.673900
3696.047900,94.565200
3695.209300,94.565200
3694.371400,94.456500
3693.532800,94.456500
3692.694900,94.347800
3691.856300,94.239100
3691.017700,94.239100
3690.179800,94.130400
3689.341200,94.021700
3688.503300,93.804300
3687.664700,93.695700
3686.826100,93.695700
3685.988200,93.587000
3685.149600,93.478300
3684.311700,93.369600
3683.473100,93.152200
3682.634500,93.152200
3681.796600,93.043500
3680.958000,92.934800
3680.120100,92.826100
3679.281500,92.826100
3678.442900,92.717400
3677.605000,92.608700
3676.766400,92.500000
3675.927800,92.500000
3675.089900,92.391300
3674.251300,92.282600
3673.413400,92.173900
3672.574800,92.173900
3671.736200,92.065200
3670.898300,91.956500
3670.059700,91.956500
3669.221800,91.847800
3668.383200,91.847800
3667.544600,91.630400
3666.706700,91.630400
3665.868100,91.413000
3665.030200,91.413000
3664.191600,91.195700
3663.353000,91.195700
3662.515100,90.978300
3661.676500,90.760900
3660.838600,90.760900
3660.000000,90.652200
3659.161400,90.543500
3658.323500,90.434800
3657.484900,90.326100
3656.647000,90.217400
3655.808400,90.108700
3654.969800,90.108700
3654.131900,90.000000
3653.293300,89.891300
3652.455400,89.891300
3651.616800,89.782600
3650.778200,89.782600
3649.940300,89.673900
3649.101700,89.565200
3648.263800,89.565200
3647.425200,89.565200
3646.586600,89.565200
3645.748700,89.456500
3644.910100,89.456500
3644.072200,89.347800
3643.233600,89.239100
3642.395000,89.239100
3641.557100,89.130400
3640.718500,89.130400
3639.879900,89.021700
3639.042000,88.804300
3638.203400,88.587000
3637.365500,88.478300
3636.526900,88.369600
3635.688300,88.152200
3634.850400,88.043500
3634.011800,87.934800
3633.173900,87.826100
3632.335300,87.717400
3631.496700,87.500000
3630.658800,87.391300
3629.820200,87.282600
3628.982300,87.065200
3628.143700,86.956500
3627.305100,86.739100
3626.467200,86.413000
3625.628600,86.195700
3624.790700,85.978300
3623.952100,89.782600
3623.113500,89.782600
3622.275600,89.673900
3621.437000,89.347800
3620.599100,89.239100
3619.760500,89.130400
3618.921900,89.021700
3618.084000,89.021700
3617.245400,88.478300
3616.407500,88.478300
3615.568900,88.478300
3614.730300,88.260900
3613.892400,88.260900
3613.053800,88.152200
3612.215900,88.152200
3611.377300,88.152200
3610.538700,88.043500
3609.700800,87.934800
3608.862200,87.826100
3608.024300,87.608700
3607.185700,87.282600
3606.347100,87.065200
3605.509200,86.847800
3604.670600,86.413000
3603.832000,86.413000
3602.994100,86.413000
3602.155500,86.521700
3601.317600,86.521700
3600.479000,86.413000
3599.640400,86.413000
3598.802500,86.195700
3597.963900,85.978300
3597.126000,85.869600
3596.287400,85.869600
3595.448800,85.108700
3594.610900,85.108700
3593.772300,85.108700
3592.934400,85.108700
3592.095800,84.456500
3591.257200,84.456500
3590.419300,84.456500
3589.580700,84.456500
3588.742800,83.587000
3587.904200,83.587000
3587.065600,83.478300
3586.227700,83.043500
3585.389100,82.826100
3584.551200,82.391300
3583.712600,82.391300
3582.874000,82.065200
3582.036100,81.630400
3581.197500,81.521700
3580.359600,81.087000
3579.521000,80.543500
3578.682400,80.434800
3577.844500,79.826100
3577.005900,79.347800
3576.168000,78.587000
3575.329400,78.369600
3574.490800,77.934800
3573.652900,77.934800
3572.814300,77.717400
3571.975700,77.500000
3571.137800,77.391300
3570.299200,76.739100
3569.461300,75.679300
3568.622700,75.407600
3567.784100,74.472000
3566.946200,74.192500
3566.107600,73.804300
3565.269700,73.804300
3564.431100,73.233700
3563.592500,72.663000
3562.754600,72.092400
3561.916000,71.521700
3561.078100,71.521700
3560.239500,71.195700
3559.400900,70.760900
3558.563000,70.760900
3557.724400,70.079100
3556.886500,69.397200
3556.047900,68.715400
3555.209300,68.033600
3554.371400,67.351800
3553.532800,66.670000
3552.694900,65.988100
3551.856300,65.306300
3551.017700,64.624500
3550.179800,63.942700
3549.341200,63.260900
3548.503300,62.826100
3547.664700,62.282600
3546.826100,61.630400
3545.988200,61.087000
3545.149600,60.434800
3544.311700,60.000000
3543.473100,59.456500
3542.634500,58.913000
3541.796600,58.695700
3540.958000,58.260900
3540.120100,57.934800
3539.281500,57.608700
3538.442900,57.500000
3537.605000,57.282600
3536.766400,57.065200
3535.927800,56.847800
3535.089900,56.847800
3534.251300,56.630400
3533.413400,56.630400
3532.574800,56.521700
3531.736200,56.413000
3530.898300,56.413000
3530.059700,56.195700
3529.221800,55.978300
3528.383200,55.760900
3527.544600,55.652200
3526.706700,55.652200
3525.868100,55.652200
3525.030200,55.652200
3524.191600,55.652200
3523.353000,55.652200
3522.515100,55.760900
3521.676500,55.760900
3520.838600,55.978300
3520.000000,55.978300
3519.161400,56.087000
3518.323500,56.195700
3517.484900,56.195700
3516.647000,56.195700
3515.808400,56.195700
3514.969800,56.304300
3514.131900,56.413000
3513.293300,56.521700
3512.455400,56.847800
3511.616800,57.173900
3510.778200,57.391300
3509.940300,57.608700
3509.101700,57.717400
3508.263800,57.826100
3507.425200,57.934800
3506.586600,57.934800
3505.748700,57.934800
3504.910100,57.934800
3504.072200,58.043500
3503.233600,58.043500
3502.395000,58.043500
3501.557100,57.934800
3500.718500,57.608700
3499.879900,57.500000
3499.042000,57.282600
3498.203400,57.065200
3497.365500,56.630400
3496.526900,56.413000
3495.688300,56.195700
3494.850400,55.978300
3494.011800,55.760900
3493.173900,55.760900
3492.335300,55.760900
3491.496700,55.869600
3490.658800,55.869600
3489.820200,55.760900
3488.982300,55.652200
3488.143700,55.326100
3487.305100,55.108700
3486.467200,54.673900
3485.628600,54.673900
3484.790700,54.673900
3483.952100,54.673900
3483.113500,54.456500
3482.275600,54.347800
3481.437000,54.021700
3480.599100,53.695700
3479.760500,53.260900
3478.921900,52.391300
3478.084000,52.065200
3477.245400,51.521700
3476.407500,50.760900
3475.568900,50.217400
3474.730300,49.891300
3473.892400,49.565200
3473.053800,49.239100
3472.215900,49.239100
3471.377300,49.239100
3470.538700,49.239100
3469.700800,49.130400
3468.862200,48.804300
3468.024300,48.587000
3467.185700,48.260900
3466.347100,48.043500
3465.509200,47.717400
3464.670600,47.717400
3463.832000,47.608700
3462.994100,47.608700
3462.155500,47.717400
3461.317600,47.826100
3460.479000,48.043500
3459.640400,48.152200
3458.802500,48.587000
3457.963900,49.021700
3457.126000,49.565200
3456.287400,50.108700
3455.448800,50.760900
3454.610900,51.195700
3453.772300,51.521700
3452.934400,52.173900
3452.095800,52.608700
3451.257200,52.934800
3450.419300,53.369600
3449.580700,53.913000
3448.742800,54.347800
3447.904200,54.782600
3447.065600,55.217400
3446.227700,55.543500
3445.389100,55.869600
3444.551200,56.195700
3443.712600,56.304300
3442.874000,56.304300
3442.036100,56.087000
3441.197500,55.978300
3440.359600,55.760900
3439.521000,55.652200
3438.682400,55.652200
3437.844500,55.652200
3437.005900,55.652200
3436.168000,55.652200
3435.329400,55.543500
3434.490800,55.543500
3433.652900,55.434800
3432.814300,55.434800
3431.975700,55.434800
3431.137800,55.543500
3430.299200,55.543500
3429.461300,55.760900
3428.622700,55.760900
3427.784100,55.760900
3426.946200,55.869600
3426.107600,55.869600
3425.269700,55.869600
3424.431100,55.978300
3423.592500,55.978300
3422.754600,55.869600
3421.916000,55.869600
3421.078100,55.869600
3420.239500,55.869600
3419.400900,55.978300
3418.563000,55.978300
3417.724400,55.978300
3416.886500,55.978300
3416.047900,55.978300
3415.209300,55.978300
3414.371400,55.978300
3413.532800,55.978300
3412.694900,56.087000
3411.856300,56.087000
3411.017700,56.087000
3410.179800,56.195700
3409.341200,56.195700
3408.503300,56.304300
3407.664700,56.304300
3406.826100,56.304300
3405.988200,56.304300
3405.149600,56.413000
3404.311700,56.413000
3403.473100,56.304300
3402.634500,56.304300
3401.796600,56.304300
3400.958000,56.304300
3400.120100,56.195700
3399.281500,56.195700
3398.442900,55.978300
3397.605000,55.978300
3396.766400,55.869600
3395.927800,55.869600
3395.089900,55.869600
3394.251300,55.869600
3393.413400,55.869600
3392.574800,55.869600
3391.736200,55.869600
3390.898300,55.760900
3390.059700,55.760900
3389.221800,55.543500
3388.383200,55.434800
3387.544600,55.434800
3386.706700,55.434800
3385.868100,55.434800
3385.030200,55.326100
3384.191600,55.326100
3383.353000,55.326100
3382.515100,55.108700
3381.676500,55.108700
3380.838600,54.891300
3380.000000,54.891300
3379.161400,54.673900
3378.323500,54.565200
3377.484900,54.456500
3376.647000,54.239100
3375.808400,54.021700
3374.969800,53.913000
3374.131900,53.804300
3373.293300,53.587000
3372.455400,53.478300
3371.616800,53.260900
3370.778200,53.152200
3369.940300,52.934800
3369.101700,52.934800
3368.263800,52.717400
3367.425200,52.608700
3366.586600,52.608700
3365.748700,52.500000
3364.910100,52.500000
3364.072200,52.391300
3363.233600,52.391300
3362.395000,52.391300
3361.557100,52.500000
3360.718500,52.608700
3359.879900,52.826100
3359.042000,52.934800
3358.203400,53.152200
3357.365500,53.260900
3356.526900,53.369600
3355.688300,53.804300
3354.850400,53.913000
3354.011800,53.695700
3353.173900,53.478300
3352.335300,53.587000
3351.496700,56.630400
3350.658800,58.937200
3349.820200,61.244000
3348.982300,63.550700
3348.143700,65.857500
3347.305100,68.164300
3346.467200,70.652200
3345.628600,73.260900
3344.790700,75.434800
3343.952100,77.391300
3343.113500,77.934800
3342.275600,78.260900
3341.437000,78.478300
3340.599100,78.478300
3339.760500,78.043500
3338.921900,77.826100
3338.084000,77.500000
3337.245400,75.434800
3336.407500,75.108700
3335.568900,74.782600
3334.730300,74.782600
3333.892400,74.782600
3333.053800,76.413000
3332.215900,76.847800
3331.377300,77.282600
3330.538700,77.717400
3329.700800,77.717400
3328.862200,77.717400
3328.024300,77.500000
3327.185700,77.608700
3326.347100,77.608700
3325.509200,77.608700
3324.670600,79.021700
3323.832000,79.347800
3322.994100,80.000000
3322.155500,80.217400
3321.317600,80.652200
3320.479000,80.869600
3319.640400,81.195700
3318.802500,81.195700
3317.963900,81.087000
3317.126000,80.760900
3316.287400,80.434800
3315.448800,80.217400
3314.610900,79.782600
3313.772300,79.565200
3312.934400,79.565200
3312.095800,79.565200
3311.257200,80.326100
3310.419300,80.326100
3309.580700,80.434800
3308.742800,80.760900
3307.904200,80.978300
3307.065600,81.087000
3306.227700,81.304300
3305.389100,81.521700
3304.551200,81.630400
3303.712600,81.630400
3302.874000,81.739100
3302.036100,81.739100
3301.197500,81.847800
3300.359600,81.847800
3299.521000,81.847800
3298.682400,81.956500
3297.844500,82.065200
3297.005900,82.065200
3296.168000,82.173900
3295.329400,82.282600
3294.490800,82.282600
3293.652900,82.173900
3292.814300,82.065200
3291.975700,82.065200
3291.137800,81.956500
3290.299200,82.065200
3289.461300,82.065200
3288.622700,81.739100
3287.784100,81.413000
3286.946200,81.413000
3286.107600,81.413000
3285.269700,81.413000
3284.431100,81.195700
3283.592500,81.087000
3282.754600,81.087000
3281.916000,80.869600
3281.078100,80.869600
3280.239500,80.597800
3279.400900,80.326100
3278.563000,80.326100
3277.724400,80.434800
3276.886500,80.434800
3276.047900,80.326100
3275.209300,80.217400
3274.371400,80.326100
3273.532800,80.108700
3272.694900,79.891300
3271.856300,79.891300
3271.017700,79.891300
3270.179800,79.891300
3269.341200,78.804300
3268.503300,78.695700
3267.664700,76.712000
3266.826100,74.728300
3265.988200,73.695700
3265.149600,70.760900
3264.311700,70.652200
3263.473100,70.543500
3262.634500,70.543500
3261.796600,72.808000
3260.958000,75.072500
3260.120100,77.337000
3259.281500,79.601400
3258.442900,82.173900
3257.605000,84.130400
3256.766400,85.108700
3255.927800,85.652200
3255.089900,86.087000
3254.251300,86.304300
3253.413400,86.739100
3252.574800,86.956500
3251.736200,87.282600
3250.898300,87.608700
3250.059700,87.717400
3249.221800,87.717400
3248.383200,87.608700
3247.544600,87.717400
3246.706700,87.717400
3245.868100,87.717400
3245.030200,88.043500
3244.191600,88.043500
3243.353000,88.152200
3242.515100,88.152200
3241.676500,88.369600
3240.838600,88.587000
3240.000000,88.587000
3239.161400,88.804300
3238.323500,88.804300
3237.484900,88.587000
3236.647000,88.260900
3235.808400,87.934800
3234.969800,87.717400
3234.131900,87.608700
3233.293300,87.391300
3232.455400,87.500000
3231.616800,87.500000
3230.778200,87.608700
3229.940300,87.608700
3229.101700,87.608700
3228.263800,87.500000
3227.425200,87.391300
3226.586600,87.173900
3225.748700,87.065200
3224.910100,87.065200
3224.072200,87.065200
3223.233600,86.739100
3222.395000,86.413000
3221.557100,86.413000
3220.718500,86.413000
3219.879900,86.413000
3219.042000,86.087000
3218.203400,86.087000
3217.365500,86.087000
3216.526900,86.087000
3215.688300,86.304300
3214.850400,86.739100
3214.011800,86.956500
3213.173900,86.956500
