Δν (CM⁻¹),INTENSITY
1397.912900,0.156355
1395.827150,0.156355
1393.740050,0.157191
1391.654300,0.157191
1389.567200,0.153428
1387.480100,0.149666
1385.394350,0.145903
1383.307250,0.142140
1381.221500,0.138378
1379.134400,0.137751
1377.047300,0.137124
1374.961550,0.136497
1372.874450,0.135870
1370.788700,0.135242
1368.701600,0.134615
1366.614500,0.135452
1364.528750,0.136288
1362.441650,0.137124
1360.355900,0.138796
1358.268800,0.140468
1356.183050,0.142140
1354.095950,0.147993
1352.008850,0.149666
1349.923100,0.151338
1347.836000,0.160535
1345.750250,0.162207
1343.663150,0.162207
1341.576050,0.160535
1339.490300,0.134615
1337.403200,0.134615
1335.317450,0.161371
1333.230350,0.188127
1331.143250,0.188127
1329.057500,0.188127
1326.970400,0.188127
1324.884650,0.188127
1322.797550,0.158863
1320.710450,0.158027
1318.624700,0.142977
1316.537600,0.127926
1314.451850,0.127090
1312.364750,0.127926
1310.277650,0.127926
1308.191900,0.131271
1306.104800,0.134615
1304.019050,0.137960
1301.931950,0.141304
1299.844850,0.144649
1297.759100,0.141304
1295.672000,0.186455
1293.586250,0.218227
1291.499150,0.218227
1289.412050,0.218227
1287.326300,0.218227
1285.239200,0.218227
1283.153450,0.218227
1281.066350,0.229933
1278.979250,0.229933
1276.893500,0.219064
1274.806400,0.219064
1272.720650,0.218227
1270.633550,0.219064
1268.547800,0.219064
1266.460700,0.219064
1264.373600,0.231605
1262.287850,0.232441
1260.200750,0.220736
1258.115000,0.220736
1256.027900,0.219900
1253.940800,0.219900
1251.855050,0.219900
1249.767950,0.219900
1247.682200,0.234950
1245.595100,0.221572
1243.508000,0.221572
1241.422250,0.229097
1239.335150,0.229933
1237.249400,0.230769
1235.162300,0.232441
1233.075200,0.235786
1230.989450,0.226589
1228.902350,0.227425
1226.816600,0.232023
1224.729500,0.236622
1222.642400,0.241221
1220.556650,0.245819
1218.469550,0.250418
1216.383800,0.255017
1214.296700,0.255853
1212.209600,0.256689
1210.123850,0.274247
1208.036750,0.277592
1205.951000,0.279264
1203.863900,0.282609
1201.776800,0.285953
1199.691050,0.289298
1197.603950,0.294314
1195.518200,0.297659
1193.431100,0.304348
1191.344000,0.314381
1189.258250,0.336120
1187.171150,0.366221
1185.085400,0.377926
1182.998300,0.409699
1180.912550,0.453177
1178.825450,0.476589
1176.738350,0.478261
1174.652600,0.520067
1172.565500,0.543478
1170.479750,0.568562
1168.392650,0.598662
1166.305550,0.633779
1164.219800,0.635452
1162.132700,0.635452
1160.046950,0.637124
1157.959850,0.635452
1155.872750,0.630435
1153.787000,0.612040
1151.699900,0.586957
1149.614150,0.558528
1147.527050,0.515050
1145.439950,0.486622
1143.354200,0.444816
1141.267100,0.416388
1139.181350,0.397993
1137.094250,0.347826
1135.007150,0.332776
1132.921400,0.307692
1130.834300,0.282609
