v (cm^-1),intensity
1400.000000,0.040881
1397.584850,0.040881
1395.169700,0.040881
1392.754550,0.040881
1390.339400,0.040881
1387.924250,0.040881
1385.510450,0.040881
1383.095300,0.040881
1380.680150,0.041929
1378.265000,0.041929
1375.849850,0.042977
1373.434700,0.042977
1371.019550,0.042977
1368.604400,0.042977
1366.189250,0.042977
1363.774100,0.042977
1361.358950,0.042977
1358.945150,0.042977
1356.530000,0.042977
1354.114850,0.042977
1351.699700,0.042977
1349.284550,0.042977
1346.869400,0.042977
1344.454250,0.042977
1342.039100,0.042977
1339.623950,0.042977
1337.208800,0.042977
1334.793650,0.045073
1332.379850,0.045073
1329.964700,0.045073
1327.549550,0.045073
1325.134400,0.045073
1322.719250,0.045073
1320.304100,0.045073
1317.888950,0.046122
1315.473800,0.031447
1313.058650,0.031447
1310.643500,0.047170
1308.228350,0.047170
1305.814550,0.049266
1303.399400,0.049266
1300.984250,0.049266
1298.569100,0.032495
1296.153950,0.032495
1293.738800,0.032495
1291.323650,0.033543
1288.908500,0.033543
1286.493350,0.033543
1284.078200,0.038784
1281.663050,0.038784
1279.249250,0.039832
1276.834100,0.039832
1274.418950,0.044924
1272.003800,0.047619
1269.588650,0.052411
1267.173500,0.066038
1264.758350,0.066038
1262.343200,0.067086
1259.928050,0.067086
1257.512900,0.066038
1255.097750,0.066038
1252.683950,0.064990
1250.268800,0.066038
1247.853650,0.070231
1245.438500,0.075472
1243.023350,0.080713
1240.608200,0.095388
1238.193050,0.077568
1235.777900,0.098532
1233.362750,0.099581
1230.947600,0.101677
1228.532450,0.123166
1226.118650,0.144654
1223.703500,0.181342
1221.288350,0.211740
1218.873200,0.232704
1216.458050,0.255765
1214.042900,0.328092
1211.627750,0.331237
1209.212600,0.359119
1206.797450,0.374633
1204.382300,0.390147
1201.967150,0.405660
1199.553350,0.406709
1197.138200,0.357442
1194.723050,0.308176
1192.307900,0.286164
1189.892750,0.226415
1187.477600,0.206499
1185.062450,0.186583
1182.647300,0.147799
1180.232150,0.111111
1177.817000,0.094340
1175.401850,0.093291
1172.988050,0.071279
1170.572900,0.060273
1168.157750,0.049266
1165.742600,0.049266
1163.327450,0.048218
1160.912300,0.048218
1158.497150,0.035639
1156.082000,0.035639
1153.666850,0.035639
1151.251700,0.035639
1148.836550,0.035639
1146.422750,0.062893
1144.007600,0.061845
1141.592450,0.034591
1139.177300,0.034591
1136.762150,0.034591
1134.347000,0.034591
1131.931850,0.034591
1129.516700,0.034591
1127.101550,0.034591
1124.686400,0.055556
1122.271250,0.055556
1119.857450,0.055556
1117.442300,0.034591
1115.027150,0.034591
1112.612000,0.034591
1110.196850,0.034591
1107.781700,0.034591
1105.366550,0.034591
1102.951400,0.034591
1100.536250,0.055556
1098.121100,0.055556
1095.705950,0.055556
1093.292150,0.034591
1090.877000,0.034591
1088.461850,0.034591
1086.046700,0.034591
1083.631550,0.034591
1081.216400,0.034591
1078.801250,0.055556
1076.386100,0.055556
1073.970950,0.055556
1071.555800,0.031447
1069.140650,0.031447
1066.726850,0.031447
1064.311700,0.031447
1061.896550,0.031447
1059.481400,0.031447
1057.066250,0.031447
1054.651100,0.053459
1052.235950,0.053459
1049.820800,0.031447
1047.405650,0.031447
1044.990500,0.031447
1042.576700,0.032495
1040.161550,0.032495
1037.746400,0.032495
1035.331250,0.032495
1032.916100,0.032495
1030.500950,0.054507
1028.085800,0.031447
1025.670650,0.031447
1023.255500,0.032495
1020.840350,0.032495
1018.425200,0.032495
1016.011400,0.032495
1013.596250,0.032495
1011.181100,0.055556
1008.765950,0.033543
1006.350800,0.033543
1003.935650,0.032495
1001.520500,0.032495
999.105350,0.032495
996.690200,0.032495
994.275050,0.032495
991.859900,0.032495
989.446100,0.055556
987.030950,0.055556
984.615800,0.034591
982.200650,0.034591
979.785500,0.034591
977.370350,0.034591
974.955200,0.034591
972.540050,0.034591
970.124900,0.034591
967.709750,0.034591
965.294600,0.055556
962.880800,0.055556
960.465650,0.055556
958.050500,0.035639
955.635350,0.035639
953.220200,0.036688
950.805050,0.036688
948.389900,0.036688
945.974750,0.036688
943.559600,0.036688
941.144450,0.056604
938.729300,0.057652
936.315500,0.037736
933.900350,0.037736
931.485200,0.036688
929.070050,0.036688
926.654900,0.037736
924.239750,0.036688
921.824600,0.036688
919.409450,0.036688
916.994300,0.057652
914.579150,0.037736
912.164000,0.037736
909.750200,0.036688
907.335050,0.036688
904.919900,0.036688
902.504750,0.036688
900.089600,0.037736
897.674450,0.037736
895.259300,0.059748
892.844150,0.038784
890.429000,0.038784
888.013850,0.038784
885.598700,0.038784
883.184900,0.038784
880.769750,0.038784
878.354600,0.038784
875.939450,0.038784
873.524300,0.061845
871.109150,0.038784
868.694000,0.038784
866.278850,0.038784
863.863700,0.038784
861.448550,0.038784
859.033400,0.038784
856.619600,0.038784
854.204450,0.038784
851.789300,0.062893
849.374150,0.041929
846.959000,0.041929
844.543850,0.040881
842.128700,0.040881
839.713550,0.040881
837.298400,0.040881
834.883250,0.041929
832.468100,0.041929
830.054300,0.042977
827.639150,0.044025
825.224000,0.042977
822.808850,0.044025
820.393700,0.044025
817.978550,0.045073
815.563400,0.045073
813.148250,0.045073
810.733100,0.066038
808.317950,0.046122
805.902800,0.046122
803.489000,0.047170
801.073850,0.047170
798.658700,0.047170
796.243550,0.047170
793.828400,0.047170
791.413250,0.068134
788.998100,0.068134
786.582950,0.068134
784.167800,0.048218
781.752650,0.047170
779.337500,0.046122
776.923700,0.046122
774.508550,0.047170
772.093400,0.047170
769.678250,0.047170
767.263100,0.070231
764.847950,0.053459
762.432800,0.053459
760.017650,0.054507
757.602500,0.054507
755.187350,0.055556
752.772200,0.055556
750.358400,0.063941
747.943250,0.063941
745.528100,0.064990
743.112950,0.067086
740.697800,0.068134
738.282650,0.068134
735.867500,0.072327
733.452350,0.076520
731.037200,0.076520
728.622050,0.077568
726.206900,0.077568
723.793100,0.079665
721.377950,0.079665
718.962800,0.079665
716.547650,0.075472
714.132500,0.072327
711.717350,0.068134
709.302200,0.068134
706.887050,0.056604
704.471900,0.056604
702.056750,0.056604
699.641600,0.056604
697.227800,0.056604
694.812650,0.083857
692.397500,0.052411
