FREQUENCY (cm⁻¹),ENERGY TRANSMITTED
2027.659600,90.625000
2029.787200,90.625000
2031.914800,90.625000
2034.042400,91.071400
2036.170000,86.607100
2038.297600,71.428600
2040.425800,70.535700
2042.553400,70.535700
2044.681000,70.535700
2046.808600,70.535700
2048.936200,70.535700
2051.063800,70.535700
2053.191400,71.428600
2055.319000,72.321400
2057.446600,73.214300
2059.574200,91.071400
2061.702400,91.071400
2063.830000,91.071400
2065.957600,91.071400
2068.085200,91.071400
2070.212800,90.773800
2072.340400,90.476200
2074.468000,90.178600
2076.595600,90.178600
2078.723200,89.732100
2080.850800,89.732100
2082.979000,89.732100
2085.106600,89.732100
2087.234200,90.178600
2089.361800,90.178600
2091.489400,90.178600
2093.617000,90.178600
2095.744600,90.625000
2097.872200,90.625000
2099.999800,90.625000
2102.127400,90.625000
2104.255600,90.178600
2106.383200,90.178600
2108.510800,90.178600
2110.638400,90.625000
2112.766000,90.178600
2114.893600,90.625000
2117.021200,90.625000
2119.148800,90.625000
2121.276400,90.625000
2123.404000,90.625000
2125.532200,90.625000
2127.659800,90.625000
2129.787400,90.625000
2131.915000,90.625000
2134.042600,90.178600
2136.170200,90.178600
2138.297800,90.625000
2140.425400,90.178600
2142.553000,89.732100
2144.680600,89.732100
2146.808800,89.732100
2148.936400,90.178600
2151.064000,90.178600
2153.191600,89.732100
2155.319200,89.732100
2157.446800,89.732100
2159.574400,90.178600
2161.702000,90.178600
2163.829600,90.625000
2165.957200,90.625000
2168.085400,90.178600
2170.213000,90.625000
2172.340600,90.625000
2174.468200,91.071400
2176.595800,90.625000
2178.723400,90.625000
2180.851000,90.625000
2182.978600,90.625000
2185.106200,90.625000
2187.233800,90.625000
2189.362000,90.178600
2191.489600,90.625000
2193.617200,90.625000
2195.744800,90.178600
2197.872400,90.178600
2200.000000,89.732100
2202.127600,89.732100
2204.255200,89.732100
2206.382800,89.732100
2208.510400,89.732100
2210.638000,89.732100
2212.766200,89.732100
2214.893800,89.732100
2217.021400,89.732100
2219.149000,89.732100
2221.276600,89.732100
2223.404200,89.732100
2225.531800,89.732100
2227.659400,90.178600
2229.787000,90.178600
2231.914600,90.178600
2234.042800,90.178600
2236.170400,90.178600
2238.298000,90.178600
2240.425600,90.178600
2242.553200,89.732100
2244.680800,89.732100
2246.808400,89.732100
2248.936000,89.732100
2251.063600,89.732100
2253.191200,89.732100
2255.319400,89.732100
2257.447000,89.732100
2259.574600,89.285700
2261.702200,89.285700
2263.829800,89.285700
2265.957400,89.732100
2268.085000,89.732100
2270.212600,89.732100
2272.340200,89.508900
2274.467800,89.285700
2276.596000,89.285700
2278.723600,89.732100
2280.851200,89.285700
2282.978800,89.732100
2285.106400,89.732100
2287.234000,89.732100
2289.361600,89.732100
2291.489200,89.732100
2293.616800,89.732100
2295.744400,89.732100
2297.872600,89.732100
2300.000200,89.732100
2302.127800,90.178600
2304.255400,89.732100
2306.383000,89.732100
2308.510600,90.178600
2310.638200,89.732100
2312.765800,89.732100
2314.893400,89.732100
2317.021000,89.732100
2319.149200,89.732100
2321.276800,89.732100
2323.404400,89.732100
2325.532000,89.732100
2327.659600,89.732100
2329.787200,87.946400
2331.914800,87.946400
2334.042400,87.946400
2336.170000,87.946400
2338.297600,87.500000
2340.425800,87.053600
2342.553400,87.053600
2344.681000,87.053600
2346.808600,87.053600
2348.936200,86.607100
2351.063800,86.607100
2353.191400,86.607100
2355.319000,86.607100
2357.446600,85.714300
2359.574200,85.714300
2361.702400,85.267900
2363.830000,83.928600
2365.957600,83.482100
2368.085200,83.035700
2370.212800,83.035700
2372.340400,83.035700
2374.468000,80.357100
2376.595600,80.357100
2378.723200,80.357100
2380.850800,80.803600
2382.979000,80.357100
2385.106600,81.250000
2387.234200,81.696400
2389.361800,82.142900
2391.489400,82.142900
2393.617000,82.142900
2395.744600,81.696400
2397.872200,81.696400
2399.999800,81.696400
2402.127400,80.803600
2404.255600,79.910700
2406.383200,79.910700
2408.510800,79.910700
2410.638400,79.464300
2412.766000,79.017900
2414.893600,78.125000
2417.021200,77.232100
2419.148800,76.785700
2421.276400,75.892900
2423.404000,75.446400
2425.532200,75.000000
2427.659800,74.553600
2429.787400,74.553600
2431.915000,73.660700
2434.042600,73.214300
2436.170200,72.321400
2438.297800,72.321400
2440.425400,70.535700
2442.553000,69.196400
2444.680600,67.410700
2446.808800,66.964300
2448.936400,66.071400
2451.064000,64.285700
2453.191600,62.946400
2455.319200,62.053600
2457.446800,60.714300
2459.574400,59.821400
2461.702000,58.035700
2463.829600,57.589300
2465.957200,55.803600
2468.085400,53.571400
2470.213000,52.678600
2472.340600,51.785700
2474.468200,50.000000
2476.595800,50.000000
2478.723400,47.767900
2480.851000,45.535700
2482.978600,43.750000
2485.106200,42.857100
2487.233800,38.839300
2489.362000,37.946400
2491.489600,36.607100
2493.617200,33.482100
2495.744800,31.250000
2497.872400,29.464300
