x,y
1000.000000,0.106969
998.929500,0.108590
997.858500,0.109806
996.788000,0.111021
995.717500,0.112642
994.646500,0.113857
993.576000,0.115073
992.505500,0.116694
991.434500,0.117909
990.364000,0.119125
989.293500,0.119935
988.222500,0.120746
987.152000,0.121556
986.081500,0.122771
985.010500,0.123582
983.940000,0.124392
982.869500,0.125203
981.798500,0.125608
980.728000,0.126418
979.657500,0.127229
978.586500,0.128039
977.516000,0.128849
976.445500,0.129254
975.374500,0.130065
974.304000,0.131280
973.233500,0.132091
972.162500,0.132901
971.092000,0.133306
970.021500,0.134522
968.950500,0.134927
967.880000,0.135332
966.809500,0.136143
965.739000,0.136548
964.668000,0.137358
963.597500,0.138169
962.527000,0.138574
961.456000,0.139384
960.385500,0.140194
959.315000,0.140600
958.244000,0.141005
957.173500,0.141815
956.103000,0.142220
955.032000,0.142626
953.961500,0.143031
952.891000,0.143841
951.820000,0.143841
950.749500,0.144652
949.679000,0.144652
948.608000,0.145462
947.537500,0.145462
946.467000,0.145867
945.396000,0.146272
944.325500,0.146272
943.255000,0.147083
942.184000,0.147083
941.113500,0.147083
940.043000,0.146677
938.972000,0.147083
937.901500,0.147488
936.831000,0.148298
935.760000,0.148703
934.689500,0.149109
933.619000,0.149514
932.548000,0.150324
931.477500,0.150324
930.407000,0.150324
929.336000,0.151135
928.265500,0.151540
927.195000,0.151945
926.124000,0.152350
925.053500,0.152755
923.983000,0.153566
922.912000,0.153971
921.841500,0.154376
920.771000,0.154781
919.700000,0.155186
918.629500,0.155592
917.559000,0.155997
916.488000,0.156807
915.417500,0.156807
914.347000,0.157618
913.276000,0.157618
912.205500,0.158428
911.135000,0.158428
910.064000,0.158833
908.993500,0.158833
907.923000,0.159238
906.852000,0.159643
905.781500,0.160049
904.711000,0.160454
903.640500,0.161264
902.569500,0.161669
901.499000,0.162075
900.428500,0.162885
899.357500,0.163290
898.287000,0.163695
897.216500,0.164506
896.145500,0.164911
895.075000,0.164911
894.004500,0.165721
892.933500,0.165721
891.863000,0.166126
890.792500,0.166532
889.721500,0.166937
888.651000,0.167342
887.580500,0.167342
886.509500,0.167747
885.439000,0.168152
884.368500,0.168558
883.297500,0.168558
882.227000,0.168558
881.156500,0.168963
880.085500,0.168963
879.015000,0.168963
877.944500,0.168963
876.873500,0.168963
875.803000,0.168963
874.732500,0.168963
873.661500,0.168963
872.591000,0.169368
871.520500,0.169368
870.449500,0.169368
869.379000,0.169368
868.308500,0.169368
867.237500,0.168558
866.167000,0.168558
865.096500,0.168558
864.025500,0.168963
862.955000,0.168963
861.884500,0.168963
860.813500,0.168152
859.743000,0.167747
858.672500,0.166937
857.601500,0.166126
856.531000,0.165316
855.460500,0.164911
854.389500,0.163695
853.319000,0.161117
852.248500,0.159643
851.177500,0.157618
850.107000,0.155186
849.036500,0.152350
847.965500,0.150324
846.895000,0.146677
845.824500,0.143031
844.753500,0.138169
843.683000,0.130875
842.612500,0.126418
841.542000,0.122366
840.471000,0.118314
839.400500,0.110616
838.330000,0.104133
837.259000,0.098460
836.188500,0.094814
835.118000,0.091572
834.047000,0.084279
832.976500,0.081442
831.906000,0.079011
830.835000,0.076175
829.764500,0.073339
828.694000,0.070097
827.623000,0.068476
826.552500,0.066045
825.482000,0.063614
824.411000,0.061994
823.340500,0.060373
822.270000,0.057536
821.199000,0.056726
820.128500,0.055105
819.058000,0.054700
817.987000,0.054700
816.916500,0.054700
815.846000,0.055105
814.775000,0.055511
813.704500,0.056321
812.634000,0.056726
811.563000,0.057536
810.492500,0.058347
809.422000,0.059157
808.351000,0.059968
807.280500,0.060373
806.210000,0.060778
805.139000,0.061588
804.068500,0.061994
802.998000,0.062399
